YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Other,"(40.793730152, -77.860700294)",FV,FV1,Q019,VALUE,42,Race/Ethnicity,Other,RACE,RACEOTH
2011,2011,OH,Ohio,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,35.4,35.4,NA,NA,33.2,37.8,2827,NA,NA,College graduate,NA,NA,NA,"(40.060210141, -82.404260056)",PA,PA1,Q045,VALUE,39,Education,College graduate,EDU,EDUCOGRAD
2011,2011,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,30,30,NA,NA,24.3,36.3,315,NA,NA,NA,NA,NA,2 or more races,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,06,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.1,36.1,NA,NA,27.7,45.5,369,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(38.890371385, -77.031961127)",OWS,OWS1,Q037,VALUE,11,Income,"$35,000 - $49,999",INC,INC3550
2018,2018,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,32.3,32.3,NA,NA,30.2,34.5,3082,NA,65 or older,NA,NA,NA,NA,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q036,VALUE,26,Age (years),65 or older,AGEYR,AGEYR65PLUS
2018,2018,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34,34,NA,NA,21.8,48.7,66,NA,NA,NA,NA,NA,2 or more races,"(40.48501028300046, -88.99771017799969)",PA,PA1,Q047,VALUE,17,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2015,2015,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,42.7,42.7,NA,NA,28.1,58.7,74,NA,NA,NA,NA,NA,2 or more races,"(45.254228894001, -68.985031336)",OWS,OWS1,Q037,VALUE,23,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2014,2014,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,17.3,17.3,NA,NA,14.3,20.8,935,NA,NA,NA,NA,"$50,000 - $74,999",NA,"(43.655950113, -71.50036092)",PA,PA1,Q047,VALUE,33,Income,"$50,000 - $74,999",INC,INC5075
2013,2013,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,31.7,31.7,NA,NA,27.4,36.4,545,NA,25 - 34,NA,NA,NA,NA,"(38.665510202, -80.712640135)",PA,PA1,Q045,VALUE,54,Age (years),25 - 34,AGEYR,AGEYR2534
2019,2019,NM,New Mexico,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,39.6,39.6,NA,NA,37.1,42.2,2925,NA,NA,NA,Female,NA,NA,"(34.52088095200048, -106.24058098499967)",FV,FV1,Q018,VALUE,35,Gender,Female,GEN,FEMALE
2021,2021,UT,Utah,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,31.6,31.6,NA,NA,29.9,33.4,3955,NA,NA,College graduate,NA,NA,NA,"(39.360700171000474, -111.58713063499971)",FV,FV1,Q018,VALUE,49,Education,College graduate,EDU,EDUCOGRAD
2019,2019,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.6,36.6,NA,NA,33.5,39.8,1617,NA,NA,NA,NA,"$75,000 or greater",NA,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q037,VALUE,29,Income,"$75,000 or greater",INC,INC75PLUS
2019,2019,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,38.5,38.5,NA,NA,35,42.2,1260,NA,NA,NA,NA,"$75,000 or greater",NA,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q037,VALUE,56,Income,"$75,000 or greater",INC,INC75PLUS
2013,2013,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,36.4,36.4,NA,NA,34.6,38.2,5227,NA,NA,NA,NA,NA,Non-Hispanic White,"(43.235541343, -108.109830353)",PA,PA1,Q045,VALUE,56,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,TN,Tennessee,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,5.8,5.8,NA,NA,3.6,9.1,626,NA,NA,NA,NA,"Less than $15,000",NA,"(35.68094058, -85.774490914)",PA,PA1,Q044,VALUE,47,Income,"Less than $15,000",INC,INCLESS15
2013,2013,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,28.4,28.4,NA,NA,25,32.1,2177,NA,NA,NA,NA,"$50,000 - $74,999",NA,"(46.355648736, -94.794200503)",OWS,OWS1,Q036,VALUE,27,Income,"$50,000 - $74,999",INC,INC5075
2013,2013,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,22,22,NA,NA,18.6,25.7,1076,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(40.793730152, -77.860700294)",PA,PA1,Q046,VALUE,42,Income,"$25,000 - $34,999",INC,INC2535
2019,2019,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,2 or more races,"(38.89037138500049, -77.03196112699965)",PA,PA1,Q046,VALUE,11,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2019,2019,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(38.89037138500049, -77.03196112699965)",PA,PA1,Q045,VALUE,11,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2015,2015,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Other,"(31.827240407, -99.426770206)",PA,PA1,Q043,VALUE,48,Race/Ethnicity,Other,RACE,RACEOTH
2021,2021,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,36,36,NA,NA,20.9,54.5,56,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(43.62538123900049, -72.51764079099962)",PA,PA1,Q047,VALUE,50,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2019,2019,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Other,"(42.27687047000046, -72.08269067499964)",PA,PA1,Q045,VALUE,25,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,26.9,26.9,NA,NA,25.4,28.5,5922,Total,NA,NA,NA,NA,NA,"(41.708280193, -71.522470314)",PA,PA1,Q047,VALUE,44,Total,Total,OVR,OVERALL
2018,2018,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,12.2,12.2,NA,NA,7.6,18.8,166,NA,NA,NA,NA,NA,Asian,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,VALUE,13,Race/Ethnicity,Asian,RACE,RACEASN
2014,2014,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(28.932040377, -81.928960539)",OWS,OWS1,Q037,VALUE,12,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,62.8,62.8,NA,NA,59.7,65.7,1577,NA,NA,NA,NA,"$75,000 or greater",NA,"(45.254228894001, -68.985031336)",PA,PA1,Q043,VALUE,23,Income,"$75,000 or greater",INC,INC75PLUS
2019,2019,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,30.9,30.9,NA,NA,28.5,33.4,2298,NA,65 or older,NA,NA,NA,NA,"(41.70828019300046, -71.52247031399963)",PA,PA1,Q047,VALUE,44,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,39.5,39.5,NA,NA,37.3,41.8,2503,NA,65 or older,NA,NA,NA,NA,"(35.472031356, -97.521070214)",PA,PA1,Q047,VALUE,40,Age (years),65 or older,AGEYR,AGEYR65PLUS
2015,2015,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,32.3,32.3,NA,NA,30,34.6,2575,NA,65 or older,NA,NA,NA,NA,"(35.472031356, -97.521070214)",PA,PA1,Q045,VALUE,40,Age (years),65 or older,AGEYR,AGEYR65PLUS
2013,2013,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,31.5,31.5,NA,NA,27.2,36.1,987,NA,NA,NA,NA,Data not reported,NA,"(32.745510099, -89.538030825)",PA,PA1,Q043,VALUE,28,Income,Data not reported,INC,INCNR
2020,2020,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,28.9,28.9,NA,NA,27.5,30.2,8339,NA,NA,NA,NA,NA,Non-Hispanic White,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q036,VALUE,24,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2021,2021,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,28.5,28.5,NA,NA,25.9,31.3,4084,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(42.82700103200045, -75.54397042699964)",PA,PA1,Q047,VALUE,36,Income,"$35,000 - $49,999",INC,INC3550
2019,2019,IA,Iowa,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,43.4,43.4,NA,NA,31.6,56,71,NA,NA,NA,NA,NA,Asian,"(42.46940091300047, -93.81649055599968)",FV,FV1,Q018,VALUE,19,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,17.2,17.2,NA,NA,12.3,23.5,402,NA,18 - 24,NA,NA,NA,NA,"(42.27687047, -72.082690675)",PA,PA1,Q047,VALUE,25,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,25.3,25.3,NA,NA,19.5,32.1,293,NA,NA,NA,NA,NA,Hispanic,"(44.6613195430005, -84.71439026999968)",PA,PA1,Q047,VALUE,26,Race/Ethnicity,Hispanic,RACE,RACEHIS
2019,2019,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,42.2,42.2,NA,NA,38.8,45.6,1151,NA,55 - 64,NA,NA,NA,NA,"(43.65595011300047, -71.50036091999965)",PA,PA1,Q045,VALUE,33,Age (years),55 - 64,AGEYR,AGEYR5564
2020,2020,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,36.6,36.6,NA,NA,32,41.5,554,NA,NA,NA,NA,NA,Hispanic,"(46.35564873600049, -94.79420050299967)",OWS,OWS1,Q036,VALUE,27,Race/Ethnicity,Hispanic,RACE,RACEHIS
2016,2016,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,14.7,14.7,NA,NA,11.2,19.1,564,NA,18 - 24,NA,NA,NA,NA,"(31.827240407, -99.426770206)",PA,PA1,Q047,VALUE,48,Age (years),18 - 24,AGEYR,AGEYR1824
2017,2017,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Other,"(44.393191174, -89.816370742)",PA,PA1,Q047,VALUE,55,Race/Ethnicity,Other,RACE,RACEOTH
2021,2021,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,34.2,34.2,NA,NA,23.3,46.9,115,NA,NA,Less than high school,NA,NA,NA,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,VALUE,11,Education,Less than high school,EDU,EDUHS
2014,2014,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,24.2,24.2,NA,NA,19.8,29.1,416,NA,18 - 24,NA,NA,NA,NA,"(28.932040377, -81.928960539)",OWS,OWS1,Q037,VALUE,12,Age (years),18 - 24,AGEYR,AGEYR1824
2014,2014,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33.2,33.2,NA,NA,25.9,41.4,218,NA,NA,Less than high school,NA,NA,NA,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Education,Less than high school,EDU,EDUHS
2020,2020,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,24.7,24.7,NA,NA,22.3,27.1,1553,NA,NA,Some college or technical school,NA,NA,NA,"(38.66551020200046, -80.71264013499967)",PA,PA1,Q047,VALUE,54,Education,Some college or technical school,EDU,EDUCOTEC
2014,2014,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,26.6,26.6,NA,NA,24.5,28.9,2599,NA,55 - 64,NA,NA,NA,NA,"(40.793730152, -77.860700294)",PA,PA1,Q047,VALUE,42,Age (years),55 - 64,AGEYR,AGEYR5564
2020,2020,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,21.3,21.3,NA,NA,17.3,26,604,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,VALUE,15,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,34,34,NA,NA,31.2,36.8,2515,NA,NA,NA,NA,NA,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q037,VALUE,15,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,34.9,34.9,NA,NA,18.5,55.9,56,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(40.130570048, -74.273691288)",PA,PA1,Q046,VALUE,34,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,NE,Nebraska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,37.3,37.3,NA,NA,24.9,51.6,168,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(41.641040988001, -99.365720623)",PA,PA1,Q046,VALUE,31,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,MT,Montana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,31.4,31.4,NA,NA,29.1,33.9,2585,NA,NA,NA,Male,NA,NA,"(47.066528972, -109.424420645)",PA,PA1,Q046,VALUE,30,Gender,Male,GEN,MALE
2016,2016,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(47.475319779, -100.118421049)",PA,PA1,Q047,VALUE,38,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2020,2020,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,20.5,20.5,NA,NA,16.1,25.7,1224,NA,NA,NA,NA,"$50,000 - $74,999",NA,"(31.827240407000488, -99.42677020599967)",PA,PA1,Q047,VALUE,48,Income,"$50,000 - $74,999",INC,INC5075
2022,2022,MI,Michigan,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,31.3,31.3,NA,NA,29.3,33.3,3448,NA,NA,NA,NA,Data not reported,NA,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q036,VALUE,26,Income,Data not reported,INC,INCNR
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.5,26.5,NA,NA,26,26.9,152140,NA,65 or older,NA,NA,NA,NA,NA,OWS,OWS1,Q036,VALUE,59,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,NV,Nevada,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,48,48,NA,NA,43.7,52.3,1177,NA,NA,Some college or technical school,NA,NA,NA,"(39.49324039, -117.071840564)",PA,PA1,Q043,VALUE,32,Education,Some college or technical school,EDU,EDUCOTEC
2019,2019,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30,30,NA,NA,26.6,33.5,1693,NA,NA,NA,NA,"$75,000 or greater",NA,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,VALUE,13,Income,"$75,000 or greater",INC,INC75PLUS
2016,2016,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(42.27687047, -72.082690675)",PA,PA1,Q047,VALUE,25,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,26.9,26.9,NA,NA,15.2,43.1,56,NA,NA,NA,NA,NA,Asian,"(44.393191174, -89.816370742)",OWS,OWS1,Q037,VALUE,55,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,35.5,35.5,NA,NA,32.7,38.4,1976,NA,NA,Some college or technical school,NA,NA,NA,"(38.635790776, -92.566300053)",OWS,OWS1,Q036,VALUE,29,Education,Some college or technical school,EDU,EDUCOTEC
2013,2013,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,42.3,42.3,NA,NA,40,44.6,2712,NA,NA,College graduate,NA,NA,NA,"(45.254228894001, -68.985031336)",PA,PA1,Q045,VALUE,23,Education,College graduate,EDU,EDUCOGRAD
2015,2015,SC,South Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.2,29.2,NA,NA,27.6,30.8,6286,NA,NA,NA,Female,NA,NA,"(33.998821303, -81.045371207)",PA,PA1,Q047,VALUE,45,Gender,Female,GEN,FEMALE
2019,2019,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,27.4,27.4,NA,NA,25.4,29.5,2280,NA,NA,College graduate,NA,NA,NA,"(40.48501028300046, -88.99771017799969)",PA,PA1,Q044,VALUE,17,Education,College graduate,EDU,EDUCOGRAD
2019,2019,MI,Michigan,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,45.5,45.5,NA,NA,40.8,50.2,677,NA,18 - 24,NA,NA,NA,NA,"(44.6613195430005, -84.71439026999968)",FV,FV1,Q018,VALUE,26,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,LA,Louisiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33,33,NA,NA,30.4,35.7,1893,NA,NA,College graduate,NA,NA,NA,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q036,VALUE,22,Education,College graduate,EDU,EDUCOGRAD
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,54.8,54.8,NA,NA,50.6,58.8,1317,NA,NA,Some college or technical school,NA,NA,NA,"(43.655950113, -71.50036092)",PA,PA1,Q043,VALUE,33,Education,Some college or technical school,EDU,EDUCOTEC
2015,2015,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(43.235541343, -108.109830353)",PA,PA1,Q047,VALUE,56,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2018,2018,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,28.6,28.6,NA,NA,25.4,32,2688,NA,NA,High school graduate,NA,NA,NA,"(31.827240407000488, -99.42677020599967)",PA,PA1,Q047,VALUE,48,Education,High school graduate,EDU,EDUHSGRAD
2013,2013,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,15.4,15.4,NA,NA,10.9,21.3,256,NA,18 - 24,NA,NA,NA,NA,"(39.008830667, -75.577741168)",PA,PA1,Q047,VALUE,10,Age (years),18 - 24,AGEYR,AGEYR1824
2012,2012,MN,Minnesota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,22.4,22.4,NA,NA,19.2,25.9,1085,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(46.355648736, -94.794200503)",PA,PA1,Q047,VALUE,27,Income,"$25,000 - $34,999",INC,INC2535
